,OBJECTID,dem_id,pairname,stripdemid,sensor1,sensor2,catalogid1,catalogid2,acqdate1,acqdate2,gsd,epsg,setsm_ver,s2s_ver,creationdate,geocell,is_lsf,is_xtrack,valid_area_matchtag_density,valid_area_sqkm,valid_area_percent,water_area_sqkm,water_area_percent,cloud_area_sqkm,cloud_area_percent,avg_convergence_angle,avg_expected_height_accuracy,avg_sun_elev1,avg_sun_elev2,rmse,fileurl,s3url,SHAPE,pdt_time1,pdt_time2
302037,302038,SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg1,WV02_20191203_103001009E04E700_103001009E618A00,WV02_20191203_103001009E04E700_103001009E618A00_2m_v040300,WV02,WV02,103001009E04E700,103001009E618A00,2019-12-03 17:04:38+00:00,2019-12-03 17:03:14+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.978634,719.871142,0.660387,0.0,0.0,370.20351600000004,0.339613,42.131178000000006,0.9178510000000001,19.841666,19.841666,0.20363333,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg1.json,"POLYGON ((80975.99999117227 -698943.9999503733, 89614.00000175895 -698976.0000383542, 92390.00000623458 -699064.0000389714, 92413.99999961191 -699071.9999883766, 92446.00000190528 -699088.0000318652, 92453.99999917508 -699103.9999538655, 92461.99999727629 -699143.9999551922, 93460.82672294274 -707293.671577642, 84008.25446002898 -706813.0323100362, 80659.73006883365 -698943.9999907272, 80975.99999117227 -698943.9999503733))",2019-12-03 17:04:38+00:00,2019-12-03 17:03:14+00:00
184924,184925,SETSM_s2s041_WV01_20191210_102001008F50D400_1020010091A88300_2m_lsf_seg1,WV01_20191210_102001008F50D400_1020010091A88300,WV01_20191210_102001008F50D400_1020010091A88300_2m_v040300,WV01,WV01,102001008F50D400,1020010091A88300,2019-12-10 18:50:51+00:00,2019-12-10 18:50:09+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.9612200000000001,1466.34229,0.689458,0.084416,4e-05,660.3765639999999,0.310502,32.575769,1.211688,23.626667,23.626667,0.39466429000000003,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV01_20191210_102001008F50D400_1020010091A88300_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV01_20191210_102001008F50D400_1020010091A88300_2m_lsf_seg1.json,"POLYGON ((93965.76200240717 -707319.346252869, 84008.25446002898 -706813.0323100362, 79595.4816009711 -696443.0160912502, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 87979.75003318107 -684859.4873362234, 91233.67347706645 -684336.5353541704, 93965.76200240717 -707319.346252869))",2019-12-10 18:50:51+00:00,2019-12-10 18:50:09+00:00
350177,350178,SETSM_s2s041_WV03_20190120_10400100465CB600_10400100470AFE00_2m_lsf_seg1,WV03_20190120_10400100465CB600_10400100470AFE00,WV03_20190120_10400100465CB600_10400100470AFE00_2m_v040101,WV03,WV03,10400100465CB600,10400100470AFE00,2019-01-20 17:02:15+00:00,2019-01-20 17:03:13+00:00,2.0,3031,SETSM 4.1.1,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.985943,1597.083486,0.985945,0.325064,0.000201,22.578591999999997,0.013939000000000002,36.973928,1.058029,17.409524,17.409524,0.143735,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV03_20190120_10400100465CB600_10400100470AFE00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV03_20190120_10400100465CB600_10400100470AFE00_2m_lsf_seg1.json,"POLYGON ((84443.99999391695 -689519.9999775421, 84524.00000683048 -690248.0000398265, 86241.81303146956 -706926.6030848552, 84008.25446002898 -706813.0323100362, 79595.4816009711 -696443.0160912502, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 83885.97482391585 -684859.4873362234, 84443.99999391695 -689519.9999775421))",2019-01-20 17:02:15+00:00,2019-01-20 17:03:13+00:00
302075,302076,SETSM_s2s041_WV02_20191223_103001009F62C100_103001009F238000_2m_lsf_seg1,WV02_20191223_103001009F62C100_103001009F238000,WV02_20191223_103001009F62C100_103001009F238000_2m_v040300,WV02,WV02,103001009F62C100,103001009F238000,2019-12-23 18:07:57+00:00,2019-12-23 18:06:47+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.9903810000000001,1918.9615,0.986199,0.10137600000000001,5.2000000000000004e-05,26.824588000000002,0.013786,33.479811999999995,1.17578,22.72,22.72,0.16287222,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191223_103001009F62C100_103001009F238000_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191223_103001009F62C100_103001009F238000_2m_lsf_seg1.json,"POLYGON ((92944.19017162173 -707267.4019224901, 84008.25446002898 -706813.0323100362, 79595.4816009711 -696443.0160912502, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 87979.75003318107 -684859.4873362234, 90304.142693845 -684485.9242300452, 92944.19017162173 -707267.4019224901))",2019-12-23 18:07:57+00:00,2019-12-23 18:06:47+00:00
184916,184917,SETSM_s2s041_WV01_20191030_102001008BC2FD00_102001008D1E7F00_2m_lsf_seg1,WV01_20191030_102001008BC2FD00_102001008D1E7F00,WV01_20191030_102001008BC2FD00_102001008D1E7F00_2m_v040309,WV01,WV01,102001008BC2FD00,102001008D1E7F00,2019-10-30 21:23:26+00:00,2019-10-30 21:22:30+00:00,2.0,3031,SETSM 4.3.9,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.893247,388.552694,0.196514,0.0,0.0,1588.6717680000002,0.803486,43.288072,0.89106,18.706667000000003,18.706667,0.49157273000000007,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV01_20191030_102001008BC2FD00_102001008D1E7F00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV01_20191030_102001008BC2FD00_102001008D1E7F00_2m_lsf_seg1.json,"POLYGON ((94492.00000011089 -702796.0000138456, 95032.95156487769 -707373.6101289268, 84008.25446002898 -706813.0323100362, 79595.4816009711 -696443.0160912502, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 87979.75003318107 -684859.4873362234, 92278.62617682962 -684168.5965274227, 94492.00000011089 -702796.0000138456))",2019-10-30 21:23:26+00:00,2019-10-30 21:22:30+00:00
302036,302037,SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg2,WV02_20191203_103001009E04E700_103001009E618A00,WV02_20191203_103001009E04E700_103001009E618A00_2m_v040300,WV02,WV02,103001009E04E700,103001009E618A00,2019-12-03 17:04:43+00:00,2019-12-03 17:03:20+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e173,1,0,0.974768,680.990842,0.836502,2.657644,0.003265,131.933684,0.162062,40.787676,0.9510120000000001,20.033333,20.033333,0.2059875,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg2.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e173/SETSM_s2s041_WV02_20191203_103001009E04E700_103001009E618A00_2m_lsf_seg2.json,"POLYGON ((91289.99999645966 -689305.999955783, 91289.99999577939 -689391.9999486587, 91081.99999932297 -690263.9999691825, 91074.0000104949 -690272.0000350643, 89994.00000295207 -690672.0000289544, 89249.99999533295 -690799.999954751, 88218.0000003791 -690896.0000019792, 87916.00000130596 -690896.0000397962, 79422.72880662455 -690828.5502749874, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 87979.75003318107 -684859.4873362234, 90714.09183377448 -684420.0395468422, 91289.99999645966 -689305.999955783))",2019-12-03 17:04:43+00:00,2019-12-03 17:03:20+00:00
183645,183646,SETSM_s2s041_WV01_20190303_1020010082697300_10200100831A8300_2m_lsf_seg1,WV01_20190303_1020010082697300_10200100831A8300,WV01_20190303_1020010082697300_10200100831A8300_2m_v040300,WV01,WV01,1020010082697300,10200100831A8300,2019-03-03 20:44:54+00:00,2019-03-03 20:43:59+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e172,1,0,0.9694710000000001,1317.4961640000001,0.601462,26.360048,0.012034,849.711388,0.387909,42.629234,0.90631,9.991667,9.991667,0.17317778,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20190303_1020010082697300_10200100831A8300_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20190303_1020010082697300_10200100831A8300_2m_lsf_seg1.json,"POLYGON ((97544.34946510127 -707200.4932013853, 97025.93439424972 -707474.9482388949, 84008.25446002898 -706813.0323100362, 79595.4816009711 -696443.0160912502, 79374.84295801821 -689272.2601952812, 83346.3385311703 -684859.4873362234, 87979.75003318107 -684859.4873362234, 94157.6320358621 -683866.6134429353, 94708.02206524373 -684462.2410089785, 97544.34946510127 -707200.4932013853))",2019-03-03 20:44:54+00:00,2019-03-03 20:43:59+00:00
183643,183644,SETSM_s2s041_WV01_20190228_1020010080610A00_1020010084903800_2m_lsf_seg1,WV01_20190228_1020010080610A00_1020010084903800,WV01_20190228_1020010080610A00_1020010084903800_2m_v040300,WV01,WV01,1020010080610A00,1020010084903800,2019-02-28 21:50:07+00:00,2019-02-28 21:50:47+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e172,1,0,0.9894160000000001,2084.156004,0.965929,26.04452,0.012071,50.656424,0.023477,31.232614,1.264937,12.55,12.55,0.11568,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20190228_1020010080610A00_1020010084903800_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20190228_1020010080610A00_1020010084903800_2m_lsf_seg1.json,"POLYGON ((85628.03485618434 -684859.4873362234, 87979.75003318107 -684859.4873362234, 94157.6320358621 -683866.6134429353, 102210.94250364273 -692581.8398395746, 102431.58114659562 -696553.3354127267, 102652.21978954852 -704496.3265590309, 97025.93439424972 -707474.9482388949, 88834.72496692948 -707058.4460646244, 85628.03485618434 -684859.4873362234))",2019-02-28 21:50:07+00:00,2019-02-28 21:50:47+00:00
183647,183648,SETSM_s2s041_WV01_20191029_1020010086D12300_10200100916CAE00_2m_lsf_seg1,WV01_20191029_1020010086D12300_10200100916CAE00,WV01_20191029_1020010086D12300_10200100916CAE00_2m_v040300,WV01,WV01,1020010086D12300,10200100916CAE00,2019-10-29 20:11:39+00:00,2019-10-29 20:10:43+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e172,1,0,0.9845090000000001,2117.90382,0.973773,11.957112,0.005498,46.968824000000005,0.021595000000000003,43.482793,0.8868320000000001,16.64,16.64,0.08704286000000001,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20191029_1020010086D12300_10200100916CAE00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e172/SETSM_s2s041_WV01_20191029_1020010086D12300_10200100916CAE00_2m_lsf_seg1.json,"POLYGON ((85335.43123425839 -684859.4873362234, 87979.75003318107 -684859.4873362234, 94157.6320358621 -683866.6134429353, 102210.94250364273 -692581.8398395746, 102431.58114659562 -696553.3354127267, 102652.21978954852 -704496.3265590309, 97025.93439424972 -707474.9482388949, 88425.01396148559 -707037.6133016357, 85335.43123425839 -684859.4873362234))",2019-10-29 20:11:39+00:00,2019-10-29 20:10:43+00:00
193728,193729,SETSM_s2s041_WV01_20191013_102001008B766E00_102001008DCD9300_2m_lsf_seg1,WV01_20191013_102001008B766E00_102001008DCD9300,WV01_20191013_102001008B766E00_102001008DCD9300_2m_v040300,WV01,WV01,102001008B766E00,102001008DCD9300,2019-10-13 19:49:06+00:00,2019-10-13 19:49:55+00:00,2.0,3031,SETSM 4.3.0,4.1,2021-10-11 00:00:00+00:00,s84e170,1,0,0.984456,2011.123646,0.975649,11.659536,0.005656,39.376768,0.019103000000000002,37.448225,1.044039,10.253333,10.253333,0.13789231000000002,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s84e170/SETSM_s2s041_WV01_20191013_102001008B766E00_102001008DCD9300_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s84e170/SETSM_s2s041_WV01_20191013_102001008B766E00_102001008DCD9300_2m_lsf_seg1.json,"POLYGON ((101256.68435756632 -691549.1495171085, 102210.94250364273 -692581.8398395746, 102431.58114659562 -696553.3354127267, 102506.94219293077 -699266.3330807921, 101256.68435756632 -691549.1495171085))",2019-10-13 19:49:06+00:00,2019-10-13 19:49:55+00:00
